n,p,gamma,df,rho,snr,rep,center_X,standardize_X,beta_sparsity,beta_scale,seed,sigma2,empirical_snr,method,mse
200,40,0.2,1.0,0.0,5.0,21,True,True,,1.0,1252602694,1328.4742367217889,5.0,LAD,0.41204939997477463
200,40,0.2,1.0,0.0,5.0,21,True,True,,1.0,1252602694,1328.4742367217889,5.0,Huber,0.3241209189498881
200,40,0.2,1.0,0.0,5.0,22,True,True,,1.0,1544234201,2256.4537463398037,5.000000000000001,OLS,19.266263551816902
200,40,0.2,1.0,0.0,5.0,22,True,True,,1.0,1544234201,2256.4537463398037,5.000000000000001,LAD,0.5582465688286873
200,40,0.2,1.0,0.0,5.0,22,True,True,,1.0,1544234201,2256.4537463398037,5.000000000000001,Huber,0.38972270556854427
200,40,0.2,1.0,0.0,5.0,23,True,True,,1.0,1485765986,945.9805011968638,5.000000000000003,OLS,4.901855805358069
200,40,0.2,1.0,0.0,5.0,23,True,True,,1.0,1485765986,945.9805011968638,5.000000000000003,LAD,0.171271476967924
200,40,0.2,1.0,0.0,5.0,23,True,True,,1.0,1485765986,945.9805011968638,5.000000000000003,Huber,0.09142499318145796
200,40,0.2,1.0,0.0,5.0,24,True,True,,1.0,514533908,1549.8598029082466,5.000000000000001,OLS,15.826641055810388
200,40,0.2,1.0,0.0,5.0,24,True,True,,1.0,514533908,1549.8598029082466,5.000000000000001,LAD,0.5242471670077243
200,40,0.2,1.0,0.0,5.0,24,True,True,,1.0,514533908,1549.8598029082466,5.000000000000001,Huber,0.3517135773280049
200,40,0.2,1.0,0.0,5.0,25,True,True,,1.0,2084710896,1262.5401887177109,4.999999999999999,OLS,11.345002143169896
200,40,0.2,1.0,0.0,5.0,25,True,True,,1.0,2084710896,1262.5401887177109,4.999999999999999,LAD,0.2826256693899514
200,40,0.2,1.0,0.0,5.0,25,True,True,,1.0,2084710896,1262.5401887177109,4.999999999999999,Huber,0.10360762378709787
